num,date,review,rating,like
265,2021년 04월 06일,편리해요,4,
266,2021년 04월 06일,"로그인오류 어느분이 밑에 저와 같은 경우를 리뷰하셨던데 저는 작년부터 겪었습니다.(어쩜 그리 상황이 같은지..내가 쓴줄)제가 사용하는게 롯데엠쿠폰앱(지금은 마트go)인데 매주 마트갈때마다 비번5회초과로 계산대앞에서 매번 핸폰인증받아 비번설정합니다.웃긴게 비번오류라면서 비번재설정화면에서 아이디조회하면 회원정보가 없다고 나오다가 앱종료후 다시 들어가면 핸폰인증받아서 다시 비번설정합니다.그렇게 로그인됐다가(자동로그인상태) 한두시간후 다시 들어가면 또 비번오류.(비번설정시 비번넣어보면 새로 설정하라고 나오는것도 아래분과 동일) 하도 인증받...
전체 리뷰",1,43
267,2021년 04월 06일,이벤트 지인은 매일 100점 나는 매일 10점 이거 랜덤 맞나요? 아니면 랜덤은 개수작이고 어떤 기준이 있는건가요? 하루이틀도 아니고 첫날을 제외한 5일동안 이런게 말이 되나요?,1,2
268,2021년 04월 06일,좋아용,5,
269,2021년 04월 12일,앱이 조잡하지 않고 깔끔해서 쇼핑하기 편해요. 결재 방법도 편리해요. 번창하세요~,3,
270,2021년 04월 06일,상품 좋고 배송 좋고 나름 괜찮아요,3,
271,2021년 04월 06일,편리하고 너무 좋아요 최곱니다,4,
272,2021년 04월 06일,"정말 검색이 엉망진창!!! 롯데온 된지가 언젠데,,,검색하는 의미가 없을 정도로 검색결과가 엉망입니다. 카테고리 내 검색 기능도 없고,, 검색하다보면 짜증이 나서 롯데에서 구매하고싶지가 않아요. 롯데는 매장장사는 잘하는데, 온라인은 정말 아닌것같아요. 준비없이 롯데온으로 통합을 강행한것같아요. 정상화되는데도 시간이 너무오래 걸리고...에휴...",1,178
273,2021년 04월 06일,물건도 많고 가격도 저렴해서 이용 잘하고 있습니다^^,5,
274,2021년 04월 06일,오랜만에 들어왔는데 더 좋아진거 같아요 감사합니다~,5,
275,2021년 04월 05일,무료배송이라 일단 Good,3,
276,2021년 04월 12일,저렴하게 잘 구매했어요~,4,
277,2021년 04월 05일,요즘 맨날 1일 1롯데온 해요,4,
278,2021년 04월 05일,필요한 것에 대해 흡족한 금액으로 구매했네요,3,
279,2021년 04월 05일,결제가 안됩니다. 크롬 업글해도 소용없어요. 고객센터 전화해도 달라지는건 없어요. 열받아서 앱 삭제했어요,1,
280,2021년 04월 05일,앱 및 서비스 안정성이 너무 안좋네요.,1,
281,2021년 04월 05일,할인판매 많이해서 좋아요,5,
282,2021년 04월 05일,저희 엄마가 자동할인 적용되는거 너무 좋다고 하시네요! 추천합니다,4,
283,2021년 04월 05일,앱 불편함 번거롭고,2,
284,2021년 04월 05일,롯데온만 쓰고 있습니당~,5,
285,2021년 04월 05일,요즘에 장보는 거는 그냥 이걸로 시켜요. 신선하고 괜찮네요,3,
286,2021년 04월 05일,늘 잘 이용하고 있어요 싸고 좋아요!! 아 일단 저한테는 보기가 편해요~,5,
